family,m,method,n,mean_TVE_percent,median_TVE_percent,p95_TVE_percent,bootstrap95_low_percent,bootstrap95_high_percent,mean_angle_RMSE_deg,mean_magnitude_RMSE,mean_coverage95
M7_COUPLED,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013639793751005512,0.03493214553601824,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M7_COUPLED,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013205719136010633,0.034898472664986684,0.017994827501700398,0.00011402029983922059,0.5914569301666075
M7_COUPLED,0.25,B1,20,0.026099826455528146,0.017494340846531703,0.06936640089260114,0.015486154178210945,0.036832290117809044,0.02196682347161174,0.00014935373786527048,
M7_COUPLED,0.25,B2,20,0.025307167784995775,0.01589747439738446,0.0680221988764076,0.015081461763118845,0.0363042201827069,0.018196409168043087,0.00013343645970738692,0.9991846862814604
M7_COUPLED,0.25,B2-U2,20,0.025307167784995775,0.01589747439738446,0.0680221988764076,0.01431247910847818,0.036859871952492435,0.018196409168043087,0.00013343645970738692,0.5964551577454803
M7_COUPLED,0.5,B1,20,0.02737713737463651,0.018738102257701447,0.0697683257126621,0.016951356444849283,0.03776340405011944,0.022038795915300825,0.00017110252940416747,
M7_COUPLED,0.5,B2,20,0.026714630422347226,0.017342077562245314,0.06854779324521951,0.016290233535501866,0.038043687578667454,0.01852630360096619,0.00015786126408894426,1.0
M7_COUPLED,0.5,B2-U2,20,0.026714630422347226,0.017342077562245314,0.06854779324521951,0.016732863739651223,0.037812266798718,0.01852630360096619,0.00015786126408894426,0.5666253101736973
M7_COUPLED,0.75,B1,20,0.028703404976211492,0.020054226116477347,0.07021834185027223,0.01875172046970708,0.039773795120444294,0.022121767810091068,0.0001949987725989542,
M7_COUPLED,0.75,B2,20,0.0281627425317768,0.018842971105163874,0.0691314648841095,0.0187758070225151,0.03939684149612817,0.018867807931245168,0.0001838408779320878,1.0
M7_COUPLED,0.75,B2-U2,20,0.0281627425317768,0.018842971105163874,0.0691314648841095,0.018405092209321502,0.03965819016045434,0.018867807931245168,0.0001838408779320878,0.5193193902871323
M7_COUPLED,1.0,B1,20,0.030070543427454657,0.021432129137268364,0.07071362994416439,0.021025032000707686,0.040369316097537376,0.02221090031125017,0.00022038584244548666,
M7_COUPLED,1.0,B2,20,0.02964536558178297,0.02039156183765979,0.06976547151553646,0.019495796693783797,0.038966938663235265,0.019216332190442623,0.00021099578975972497,0.9985466146756469
M7_COUPLED,1.0,B2-U2,20,0.02964536558178297,0.02039156183765979,0.06976547151553646,0.020108083356155174,0.039217533897012345,0.019216332190442623,0.00021099578975972497,0.5126905352711804
M7_COUPLED,1.25,B1,20,0.03147426887710022,0.02286563501220133,0.07125175549533724,0.02251049349865169,0.04082504911995699,0.022305031046783795,0.0002469153049329838,
M7_COUPLED,1.25,B2,20,0.031159231830932343,0.021983234666827688,0.07044501018639263,0.021393415734505258,0.04068785194636663,0.019570876740665124,0.00023905866472547724,0.9960829493087558
M7_COUPLED,1.25,B2-U2,20,0.031159231830932343,0.021983234666827688,0.07044501018639263,0.02152207720225089,0.04060710246034198,0.019570876740665124,0.00023905866472547724,0.5086139666784827
M7_COUPLED,1.5,B1,20,0.03291182414002277,0.02435119615002148,0.07183065077918402,0.02446993651846873,0.042461132065483846,0.022403727050818126,0.000274347363436352,
M7_COUPLED,1.5,B2,20,0.03270212247267754,0.023614920178244545,0.07116698650992931,0.02414469511894458,0.04252319167100464,0.01993106897628006,0.00026783142019525094,0.9943637008153138
M7_COUPLED,1.5,B2-U2,20,0.03270212247267754,0.023614920178244545,0.07116698650992931,0.023724156025177127,0.043324157552937295,0.01993106897628006,0.00026783142019525094,0.4819213045019497
